n_Full,n_Scalar,n_NeighborProp
3033,490,408
3025,498,462
2855,668,400
2990,533,611
2998,525,150
3003,520,572
3035,488,88
2982,541,617
3043,480,395
3030,493,790
3069,454,178
2964,559,856
2943,580,2082
2843,680,536
2691,832,965
2118,1405,109
3016,507,71
2969,554,1191
2965,558,1342
2938,585,525
2973,550,1246
2894,629,377
2999,524,1001
3017,506,594
3046,477,193
3010,513,79
3021,502,479
2989,534,151
3037,486,329
2995,528,623
3064,459,1122
2309,1214,1108
3037,486,262
3051,472,216
3062,461,1111
3036,487,219
2925,598,622
2880,643,449
3039,484,473
3025,498,151
3105,418,757
3054,469,721
3106,417,671
3034,489,196
3057,466,421
2966,557,94
2841,682,254
2519,1004,1450
3011,512,24
2992,531,217
3025,498,85
2847,676,155
2782,741,166
2845,678,458
2949,574,330
2971,552,101
3034,489,219
2980,543,40
3011,512,170
2956,567,19
3113,410,223
3059,464,319
3130,393,633
2951,572,1305
3049,474,361
3088,435,267
3107,416,454
3093,430,333
3114,409,265
3060,463,152
3121,402,239
3065,458,151
3123,400,190
3050,473,438
3118,405,584
3049,474,264
3043,480,981
2904,619,114
2977,546,742
2947,576,88
2967,556,353
2990,533,188
3014,509,147
3010,513,50
2881,642,2455
2898,625,2826
2893,630,395
2928,595,278
3009,514,602
3008,515,783
3062,461,547
2959,564,349
2978,545,665
2992,531,276
3071,452,1131
2844,679,271
3031,492,210
3045,478,166
3097,426,385
3050,473,1322
3092,431,468
2948,575,496
2996,527,373
2969,554,285
3046,477,295
2987,536,34
2837,686,183
2860,663,1723
2916,607,131
2874,649,101
2798,725,242
2699,824,2534
3011,512,123
2988,535,100
3045,478,249
3022,501,20
2927,596,152
2816,707,193
2910,613,278
2923,600,70
3115,408,327
3083,440,572
3089,434,467
2984,539,2048
3048,475,320
3041,482,1801
3081,442,435
2863,660,1966
3088,435,587
3112,411,553
3154,369,711
3104,419,183
3116,407,2272
3021,502,493
3052,471,406
3010,513,213
3054,469,807
2918,605,463
2744,779,635
2738,785,211
2766,757,452
2833,690,455
2940,583,449
2850,673,154
3001,522,96
2997,526,248
3014,509,276
3023,500,331
3011,512,108
3030,493,194
3037,486,393
3040,483,199
2987,536,321
2914,609,457
2709,814,2568
2669,854,1792
2875,648,1397
2980,543,435
3031,492,920
2840,683,650
3029,494,525
3041,482,3037
3088,435,297
3062,461,143
3049,474,246
3000,523,117
2928,595,192
2844,679,423
2796,727,126
2648,875,756
2526,997,313
2388,1135,1973
2793,730,692
2849,674,119
2683,840,275
2617,906,342
3013,510,207
3014,509,20
3041,482,88
2897,626,120
3061,462,872
3042,481,262
3079,444,807
3084,439,165
3040,483,619
2899,624,1928
3023,500,868
3035,488,562
3083,440,637
3075,448,985
3084,439,960
2610,913,919
3016,507,781
3022,501,587
3112,411,503
3095,428,314
3103,420,289
2982,541,539
3046,477,389
2996,527,216
3017,506,659
2979,544,723
3046,477,3035
2983,540,120
3045,478,353
2970,553,66
2996,527,492
2678,845,406
2705,818,916
2743,780,189
2791,732,323
2849,674,674
2939,584,412
2940,583,177
2886,637,432
2957,566,414
2982,541,183
2974,549,266
3040,483,224
3013,510,110
3050,473,1619
2999,524,172
3044,479,1155
2632,891,389
2901,622,659
2945,578,2870
2868,655,1230
2975,548,496
3010,513,629
2983,540,873
3022,501,625
2967,556,522
2887,636,728
2916,607,836
3065,458,307
3016,507,51
3045,478,645
2991,532,41
2803,720,422
2628,895,1986
2883,640,94
2890,633,1417
2817,706,262
2962,561,588
2976,547,141
2955,568,560
3002,521,323
2942,581,158
2868,655,1089
2590,933,194
2800,723,1500
2782,741,321
2833,690,562
2681,842,471
2740,783,2433
2369,1154,6
863,2660,771
1782,1741,1761
1766,1757,1734
2016,1507,2009
1560,1963,1529
2565,958,2562
2562,961,2559
2565,958,2562
2095,1428,2086
2319,1204,2316
1841,1682,1836
1888,1635,1885
306,3217,143
355,3168,259
348,3175,236
199,3324,12
1946,1577,1936
1990,1533,1985
1199,2324,1141
1958,1565,1955
2070,1453,2067
2097,1426,2094
1750,1773,1745
501,3022,432
360,3163,267
258,3265,157
346,3177,267
345,3178,252
687,2836,639
666,2857,600
2483,1040,2480
2352,1171,2349
2568,955,2565
2581,942,2578
2669,854,2666
2430,1093,2427
2399,1124,2396
2034,1489,2029
2072,1451,2069
2079,1444,2076
2506,1017,2503
2468,1055,2465
2559,964,2556
1922,1601,1913
1909,1614,1905
223,3300,42
1950,1573,1937
1913,1610,1891
329,3194,269
231,3292,52
264,3259,133
487,3036,370
1457,2066,1423
1469,2054,1437
1349,2174,1329
1847,1676,1842
1885,1638,1881
1841,1682,1834
286,3237,149
789,2734,690
1007,2516,972
905,2618,828
2435,1088,2432
2352,1171,2349
779,2744,662
198,3325,11
1909,1614,1889
2352,1171,2349
