n_Full,n_Scalar,n_NeighborProp
82436,6,72539
82436,6,78054
28324,54118,3010
28641,53801,5453
37441,45001,25420
53557,28885,48129
53557,28885,12144
74583,7859,70433
73181,9261,59143
75500,6942,65972
37382,45060,5677
49657,32785,45443
35257,47185,11514
22262,60180,6189
33504,48938,30762
29539,52903,1040
82436,6,0
82415,27,78535
31961,50481,28378
37177,45265,33324
48672,33770,47492
56126,26316,19665
26977,55465,9054
77493,4949,69903
77493,4949,4913
57580,24862,46742
57745,24697,25543
55404,27038,42353
82413,29,72527
82411,31,73100
82411,31,79372
52968,29474,51407
82415,27,73003
82415,27,73695
36993,45449,9945
44963,37479,39933
36245,46197,15984
56304,26138,48803
78501,3941,70888
60218,22224,48829
36196,46246,5287
55920,26522,45051
56876,25566,22515
36446,45996,2356
82413,29,73709
82411,31,2
52968,29474,11620
20066,62376,2567
59046,23396,23128
36655,45787,2829
33744,48698,340
34910,47532,30922
36231,46211,1656
55633,26809,20953
59311,23131,22869
35373,47069,1037
35281,47161,1785
35199,47243,241
35923,46519,1197
34573,47869,0
82413,29,71356
82413,29,74632
82413,29,71390
60210,22232,58333
82434,8,71127
82434,8,69804
53002,29440,47284
65896,16546,62217
57621,24821,23318
57290,25152,43157
79680,2762,72724
70774,11668,47844
63709,18733,32293
59905,22537,23733
50519,31923,29369
49588,32854,18523
52238,30204,43681
35303,47139,7
74233,8209,70910
64036,18406,43961
82434,8,0
82415,27,71837
57164,25278,26689
58110,24332,44853
38107,44335,36020
45546,36896,44174
57012,25430,48402
58401,24041,22143
58569,23873,22411
51057,31385,43991
56678,25764,49409
52040,30402,22847
45111,37331,38392
45035,37407,24300
65796,16646,55992
64287,18155,12186
82434,8,33
82434,8,71684
57523,24919,18677
46502,35940,18813
41828,40614,11674
55123,27319,47028
55726,26716,22460
44695,37747,15088
55756,26686,41875
51054,31388,7435
23936,58506,1665
35013,47429,32970
45034,37408,10286
35848,46594,2
38443,43999,18087
38443,43999,715
82434,8,2
82415,27,71981
37888,44554,14489
75416,7026,56104
74213,8229,63103
71525,10917,63696
35335,47107,3699
31512,50930,0
67432,15010,59024
61920,20522,51544
66187,16255,38435
57608,24834,55840
60788,21654,44091
59789,22653,58060
55704,26738,43338
52998,29444,51389
82434,8,12
82434,8,79359
57989,24453,29601
82419,23,75218
82419,23,1
79059,3383,68710
57431,25011,47919
60121,22321,46761
55774,26668,49762
43786,38656,17976
41535,40907,33084
31242,51200,8137
38174,44268,25303
45178,37264,15830
53511,28931,12261
52343,30099,12682
75672,6770,65722
76399,6043,60367
36444,45998,1577
75021,7421,62631
74980,7462,63466
77586,4856,67333
59699,22743,28101
51321,31121,30966
55549,26893,35181
54013,28429,23902
36435,46007,34499
25166,57276,22119
49145,33297,46742
51631,30811,45356
62723,19719,35956
40267,42175,9700
69883,12559,63694
71409,11033,70882
48135,34307,37286
48129,34313,40257
58545,23897,22265
41139,41303,11441
39213,43229,11435
32891,49551,19099
41535,40907,11448
27337,55105,11440
25004,57438,11820
14918,67524,2809
44422,38020,40470
51631,30811,7209
63202,19240,45307
53233,29209,40697
69883,12559,7247
47662,34780,4845
48129,34313,940
48128,34314,0
65944,16498,34939
68158,14284,61890
69189,13253,59951
66704,15738,58174
65025,17417,57159
61954,20488,59850
60391,22051,52305
48891,33551,29885
56689,25753,48128
52353,30089,31162
79525,2917,77274
77975,4467,5572
82431,11,77598
82431,11,71790
53822,28620,13469
62663,19779,33425
65648,16794,54579
59275,23167,24572
51380,31062,10212
51322,31120,12232
50445,31997,12156
37703,44739,24367
54822,27620,52149
46608,35834,19750
80473,1969,69452
79769,2673,65760
82434,8,71421
82431,11,68007
82429,13,0
82406,36,78991
25046,57396,7373
37191,45251,34367
38890,43552,7555
27207,55235,20315
32034,50408,9925
45303,37139,28965
48117,34325,41769
52127,30315,21852
56915,25527,42513
56842,25600,25228
80984,1458,69331
80339,2103,1139
82434,8,80332
82432,10,1
82414,28,11144
82412,30,81838
37084,45358,34365
36010,46432,27108
51818,30624,46839
46785,35657,44086
43864,38578,38978
44349,38093,39660
47425,35017,7620
31201,51241,15282
42231,40211,16476
29805,52637,8838
48468,33974,39898
47950,34492,7
82412,30,78112
81589,853,79193
82429,13,0
82410,32,80281
48437,34005,41309
48943,33499,2502
76896,5546,65813
76917,5525,1568
44054,38388,29537
38839,43603,31548
39388,43054,34633
45409,37033,36571
34697,47745,17206
31204,51238,23850
45179,37263,41280
37694,44748,34394
44837,37605,43453
18577,63865,5
