n_Full,n_Scalar,n_NeighborProp
10242,6,345
10242,6,5860
8863,1385,681
8792,1456,1208
10207,41,3579
10238,10,4810
10238,10,0
10239,9,6089
10239,9,512
10238,10,2704
10238,10,531
10238,10,6838
10060,188,8029
9972,276,6187
9618,630,6877
5653,4595,1040
10242,6,0
10238,10,6358
9414,834,6715
7067,3181,3622
10206,42,9026
10207,41,1
10238,10,7906
10238,10,2649
10238,10,0
10238,10,1381
10238,10,0
10237,11,1099
10238,10,354
10238,10,928
10238,10,7199
10237,11,8676
10238,10,827
10238,10,1518
9630,618,3843
10238,10,5208
10238,10,5773
10239,9,2739
10239,9,2626
10239,9,1
10238,10,2171
10238,10,2978
10238,10,944
10238,10,1
10238,10,1535
10238,10,2
10237,11,0
5986,4262,2567
10238,10,0
9630,618,1
9067,1181,0
10236,12,6594
10237,11,1
10239,9,3
10239,9,0
9819,429,0
10238,10,1300
10238,10,0
10083,165,2
9929,319,0
10238,10,3
10238,10,2458
10238,10,1
10238,10,8361
10240,8,2
10240,8,4
10238,10,4795
10238,10,6559
10239,9,1
10239,9,0
10239,9,3283
10239,9,1
10238,10,0
10238,10,1
10238,10,1
10175,73,959
10238,10,8405
10238,10,0
10238,10,6915
10238,10,7329
10240,8,0
10238,10,1
10238,10,1143
10238,10,0
10238,10,9819
10238,10,8866
10238,10,2314
10238,10,0
10238,10,2
10238,10,3448
10238,10,2969
10238,10,129
10238,10,7469
10238,10,3033
10238,10,739
10237,11,0
10242,6,7
10242,6,6
10240,8,2
10238,10,8
10238,10,0
10237,11,3878
10237,11,3
10238,10,3301
10238,10,0
10238,10,0
7473,2775,1401
10238,10,8461
10238,10,0
10238,10,0
10235,13,2577
10235,13,715
10242,6,2
10240,8,0
10237,11,6195
10238,10,1
10237,11,3012
10236,12,5152
8692,1556,2
8566,1682,0
10238,10,2785
10238,10,352
10238,10,0
10238,10,8470
10238,10,0
10238,10,8509
10238,10,2508
10237,11,8628
10242,6,5
10242,6,7167
10240,8,4
10238,10,3038
10238,10,1
10238,10,1117
10238,10,1658
10238,10,1817
10238,10,6983
10237,11,3351
10237,11,7214
9400,848,460
8268,1980,4872
10237,11,3616
10237,11,0
10236,12,0
10238,10,2846
10238,10,0
10238,10,1
10238,10,540
10238,10,1077
10238,10,802
10238,10,2
10235,13,8
10237,11,2087
10237,11,0
7827,2421,5891
6224,4024,3185
10237,11,7834
10237,11,3962
10237,11,2006
9188,1060,3699
10238,10,4399
10238,10,9711
10238,10,1
10238,10,2373
10238,10,0
9825,423,16
8038,2210,15
10203,45,7875
10203,45,16
8146,2102,4393
6062,4186,2403
5393,4855,2809
10237,11,6285
10237,11,0
9300,948,987
6441,3807,0
10238,10,2630
10238,10,0
10238,10,0
10237,11,0
10238,10,1
10238,10,3993
10238,10,1283
10238,10,2263
10226,22,3429
10204,44,8100
10238,10,2522
10238,10,2079
10238,10,4136
10238,10,1366
10238,10,7987
10237,11,2
10239,9,5406
10239,9,2
10238,10,2
10238,10,0
10238,10,1
10238,10,2
10238,10,0
10033,215,1442
10236,12,2256
10237,11,6120
10238,10,8792
10238,10,0
10238,10,1171
10238,10,0
10240,8,3
10237,11,2
10237,11,0
10233,15,6820
6704,3544,2122
10128,120,8649
10128,120,1
8109,2139,4145
10033,215,2632
10034,214,202
10236,12,3888
10238,10,2
10238,10,970
10238,10,0
10238,10,2
10238,10,0
10240,8,8138
10238,10,1
10238,10,8
10237,11,9663
10234,14,7736
10237,11,8186
10237,11,6356
10237,11,8184
10235,13,7431
9507,741,5646
9504,744,726
9739,509,6032
9845,403,623
9514,734,4155
10237,11,1668
10237,11,0
10235,13,5935
9412,836,7019
10240,8,0
10235,13,8106
10235,13,3134
10238,10,3
10238,10,1
10237,11,1
9402,846,4098
6778,3470,2316
6037,4211,1423
6688,3560,1698
7202,3046,3404
7023,3225,1943
6977,3271,3693
5697,4551,2213
7150,3098,5766
5561,4687,1
